source_file,pipeline,horizon,model,n_test,n_bootstrap,block_len,mae_point,mae_lower95,mae_upper95,rmse_point,rmse_lower95,rmse_upper95,mae_top_decile_point,mae_top_decile_lower95,mae_top_decile_upper95
tabular_h336_xgboost.csv,tabular,h336,xgboost,4037,1000,168,24.876628193395813,20.774577677525713,29.186689641979445,31.7276207717657,27.292106309962534,36.178204293755314,20.43437323452804,17.187462268339072,24.852786738819546
tabular_h672_linear_svr.csv,tabular,h672,linear_svr,4037,1000,168,23.47574674373092,20.82787750163924,26.366212419130584,28.279626190577925,25.558344001192435,30.95829220658348,26.496035904708553,21.122562240400356,32.488963213651985
tabular_h672_naive_level.csv,tabular,h672,naive_level,4037,1000,168,18.880841578216437,17.57458640676204,20.36366145076746,25.544064541679624,23.28490631749712,28.01599503628312,39.58729288208341,34.918873652516936,45.34854832685713
tabular_h672_rf.csv,tabular,h672,rf,4037,1000,168,15.617730389925738,13.264133889883372,17.84947097062637,21.38392802935211,18.30026771023739,24.017171776201966,27.801906013382503,23.754423904556,32.4815975390668
tabular_h672_ridge.csv,tabular,h672,ridge,4037,1000,168,24.287607274592123,20.822923620198534,28.11335784648601,29.866152763782328,26.569136775132346,33.188762221743005,24.839502241226295,20.898008448708836,29.696688712064372
tabular_h672_ridge_ar_lag_fourier.csv,tabular,h672,ridge_ar_lag_fourier,4037,1000,168,15.48086208460093,14.162679678964755,16.784771967158612,21.02070978367119,19.090854324954226,23.00942325617574,32.72746598896023,27.555558664043588,37.837647097440716
tabular_h672_seasonal_naive_168h.csv,tabular,h672,seasonal_naive_168h,4037,1000,168,16.909146219182883,15.484110212792944,18.213217154156535,24.728703617988415,21.642651989020685,27.82077753377584,37.51310160427808,33.02356120497174,42.61788927988576
tabular_h672_seasonal_naive_24h.csv,tabular,h672,seasonal_naive_24h,4037,1000,168,18.987970272049107,17.735806665710438,20.400928046186554,26.129244678357686,24.04832463780971,28.922225101938228,40.66675531914894,36.16425024874293,46.46712818929902
tabular_h672_seasonal_naive_336h.csv,tabular,h672,seasonal_naive_336h,4037,1000,168,16.525136239782018,14.93929906180332,18.161112986128316,24.130709311454485,21.7963373880488,26.653289377822656,39.398522167487684,35.21903988635689,44.390486033400634
tabular_h672_seasonal_naive_672h.csv,tabular,h672,seasonal_naive_672h,4037,1000,168,17.9899863760218,16.64655723619024,19.604089670547438,25.17196048371596,22.97526314678973,27.527520732922238,42.467980295566505,38.261573752435815,47.448819716775596
tabular_h672_xgboost.csv,tabular,h672,xgboost,4037,1000,168,19.246938427161368,16.334096199930496,22.326957947713538,25.410960015791623,21.651275409747527,29.214622508186316,26.664783094904106,22.5235692793327,31.36243402620353
