file,pipeline,horizon,model,site,n,q_pool,n90_pool,mae90_pool_thr,q_site,n90_site,mae90_site_thr
tabular_h168_seasonal_naive_24h.csv,tabular,h168,seasonal_naive_24h,Tema Community 25 Estate,673,59.6,13,43.369230769230775,43.3,70,23.062142857142856
tabular_h168_seasonal_naive_24h.csv,tabular,h168,seasonal_naive_24h,Tema Community 3 SSNIT Flat,672,59.6,64,37.6078125,58.37,68,36.92205882352942
tabular_h168_seasonal_naive_24h.csv,tabular,h168,seasonal_naive_24h,"Tema Community 7, Royal School",673,59.6,68,31.096323529411766,59.66,68,31.096323529411766
tabular_h168_seasonal_naive_24h.csv,tabular,h168,seasonal_naive_24h,Tema Port,673,59.6,50,24.026,55.98,68,22.494117647058818
tabular_h168_seasonal_naive_336h.csv,tabular,h168,seasonal_naive_336h,"Divine healer's Church, Bethlehem",673,59.6,104,,65.1,69,
tabular_h168_seasonal_naive_336h.csv,tabular,h168,seasonal_naive_336h,"Satet International School, Tema Manhean",673,59.6,107,,69.6,69,
tabular_h168_seasonal_naive_336h.csv,tabular,h168,seasonal_naive_336h,Tema Community 25 Estate,673,59.6,13,45.19230769230769,43.3,70,
tabular_h168_seasonal_naive_336h.csv,tabular,h168,seasonal_naive_336h,Tema Community 3 SSNIT Flat,672,59.6,64,44.3546875,58.37,68,43.46029411764706
tabular_h168_seasonal_naive_336h.csv,tabular,h168,seasonal_naive_336h,"Tema Community 7, Royal School",673,59.6,68,35.725,59.66,68,35.725
tabular_h168_seasonal_naive_336h.csv,tabular,h168,seasonal_naive_336h,Tema Port,673,59.6,50,,55.98,68,
tabular_h168_seasonal_naive_672h.csv,tabular,h168,seasonal_naive_672h,"Divine healer's Church, Bethlehem",673,59.6,104,,65.1,69,
tabular_h168_seasonal_naive_672h.csv,tabular,h168,seasonal_naive_672h,"Satet International School, Tema Manhean",673,59.6,107,,69.6,69,
tabular_h168_seasonal_naive_672h.csv,tabular,h168,seasonal_naive_672h,Tema Community 25 Estate,673,59.6,13,,43.3,70,
tabular_h168_seasonal_naive_672h.csv,tabular,h168,seasonal_naive_672h,Tema Community 3 SSNIT Flat,672,59.6,64,46.543749999999996,58.37,68,45.21029411764706
tabular_h168_seasonal_naive_672h.csv,tabular,h168,seasonal_naive_672h,"Tema Community 7, Royal School",673,59.6,68,37.963235294117645,59.66,68,37.963235294117645
tabular_h168_seasonal_naive_672h.csv,tabular,h168,seasonal_naive_672h,Tema Port,673,59.6,50,,55.98,68,
tabular_h168_xgboost.csv,tabular,h168,xgboost,"Divine healer's Church, Bethlehem",673,59.6,104,29.076969014681307,65.1,69,24.7467655568883
tabular_h168_xgboost.csv,tabular,h168,xgboost,"Satet International School, Tema Manhean",673,59.6,107,34.18521269325898,69.6,69,31.903794263756797
tabular_h168_xgboost.csv,tabular,h168,xgboost,Tema Community 25 Estate,673,59.6,13,24.604969640878533,43.3,70,26.351484505789617
tabular_h168_xgboost.csv,tabular,h168,xgboost,Tema Community 3 SSNIT Flat,672,59.6,64,26.902973693609237,58.37,68,26.109321263257193
tabular_h168_xgboost.csv,tabular,h168,xgboost,"Tema Community 7, Royal School",673,59.6,68,28.265189372791962,59.66,68,28.265189372791962
tabular_h168_xgboost.csv,tabular,h168,xgboost,Tema Port,673,59.6,50,20.997000846862793,55.98,68,19.050268504198858
tabular_h24_linear_svr.csv,tabular,h24,linear_svr,"Divine healer's Church, Bethlehem",673,59.6,104,46.657131890045896,65.1,69,55.022765018629414
